nick,round_number,points,rank
Bazz,1,1000,1
litsie,1,977,2
[fps]96+ golbin,1,952,3
w00dy.th,1,940,4
[fps]delta,1,919,5
an.,1,909,6
Icarus.th,1,897,7
[fps]Proky,1,877,8
[fps]Mntr,1,866,9
[fps]L@teX_gr@Nny,1,852,10
Tutty.TH,1,842,11
Enter.th,1,831,12
/cdtu/xas.th,1,831,12
hox.th,1,805,14
X03T0BAPbI.th,1,793,15
[fps]Rain,1,783,16
Drakonix.th,1,762,17
WD!!! night,1,751,18
Sa1RaX.th,1,739,19
Strangelove,1,729,20
twitch.tv/TempheX,1,719,21
twitch.tv/imbabrain,1,707,22
RaneFire,1,697,23
kyoy,1,674,24
bibs,1,664,25
MoskaL.th,1,650,26
writhe,1,638,27
w_w,1,627,28
AW.Nachos,1,618,29
<KABCORP>,1,608,30
Mystic,1,599,31
torner2015,1,588,32
CTEPAH,1,577,33
[fps]arataru,1,560,34
ZeeL,1,551,35
certi,1,541,36
uN*DeaD|ZERG (c),1,541,36
zgaz,1,524,38
qutebones,1,511,39
>>/effect,1,501,40
Stqrm,1,490,41
tucs,1,481,42
Charlon.th,1,464,43
kanz,1,455,44
- Prox -,1,447,45
shirosaki,1,435,46
AW.Loontick,1,425,47
[fps]aurum,1,417,48
marK,1,408,49
frAk1R,1,399,50
Likey,1,383,51
[NOOB]Z0RN,1,378,52
torjeyxd,1,378,52
Shynx,1,368,54
Yes!Froid,1,362,55
|PsY|Jel,1,358,56
[a],1,353,57
Menowa,1,348,58
[FpS]'hyper,1,343,59
Daan,1,339,60
zoot,1,335,61
cobra,1,329,62
96+ snow,1,323,63
ForAstAhe,1,319,64
S!lenT,1,315,65
AW.p1u,1,311,66
AW.to4ka,1,306,67
xiongliao,1,297,68
EmSixTeen,1,293,69
>>/Abibas,1,288,70
CrazyAl,1,283,71
WinRARsalesman,1,277,72
96+ newbrict,1,273,73
ruffneck,1,269,74
De4th-crY,1,265,75
Crossaren,1,260,76
Vodichkaa,1,256,77
T9UnSeen,1,251,78
iBondza,1,245,79
knature,1,239,80
koshakov,1,234,81
AW.Mixanik :3,1,228,82
DarkCasino,1,224,83
eSRody,1,220,84
squad,1,214,85
ZyaX,1,210,86
Mehis,1,206,87
AW.LOLLIPOPOLINIUS,1,202,88
RLMZ,1,198,89
gimrock,1,194,90
Woeste Wessel,1,191,91
TheMisterFox,1,187,92
DeadAstaire,1,183,93
LanColoye,1,180,94
zagtec,1,176,95
redoxide,1,172,96
VISA,1,168,97
JustGamer,1,164,98
itinkisvinkis,1,160,99
efiop,1,157,100
TSEliot,1,155,101
quick,1,153,102
ZcarecroW,1,150,103
TakeFIve,1,147,104
TameR_,1,145,105
XPC32,1,143,106
smofo,1,140,107
