nick,round_number,points,rank
[fps]Yotoon,1,1000,1
Frog,1,982,2
[fps]S,1,969,3
[fps]delta,1,955,4
/cdtu/xas.th,1,909,5
DeX.ks.ua,1,899,6
nL-Brigand,1,867,7
KeT,1,855,8
esc?nebuLa,1,826,9
Enter.th,1,816,10
[fps]Goper,1,805,11
[fps]>>/kairos,1,791,12
poison,1,779,13
DamnedLight,1,761,14
step,1,751,15
>>/effect,1,741,16
demon0r,1,732,17
[fps]Pakistan,1,723,18
I V Y X 8,1,709,19
Icarus.th,1,694,20
breacH,1,677,21
Daan,1,668,22
DinO,1,659,23
kiccel,1,650,24
twitch.tv/TempheX,1,637,25
bionicman,1,628,26
Zeppelin,1,618,27
SenT!neL,1,609,28
Recrut,1,593,29
lex,1,585,30
Nibbit,1,576,31
MegA-TecK,1,567,32
cobra,1,557,33
eL|HoRuS|,1,542,34
>>/Nosf,1,532,35
Monstrik,1,519,36
zagtec,1,511,37
96+ e-money[****],1,494,38
halvorgb,1,486,39
AW.Nachos,1,478,40
Ker_F,1,467,41
AMP!,1,456,42
uN*DeaD|ZERG (c),1,437,43
laffs,1,429,44
Lapy,1,420,45
kITKAATpx,1,412,46
w_w,1,399,47
BG-noMAD,1,392,48
APKIS,1,381,49
KorJ,1,373,50
aurin,1,361,51
tommy,1,357,52
0dD^,1,353,53
WarLorD,1,344,54
Aciz,1,339,55
excite.[D1M_],1,332,56
id.,1,327,57
1Dm,1,322,58
dqopb -> drobb,1,316,59
[DF]Mikendo,1,312,60
Keanex.th,1,306,61
istwo,1,301,62
Krot,1,297,63
AW.Compolomus,1,293,64
siggy,1,285,65
AW!Skyalen,1,278,66
Kwoky,1,272,67
Raven,1,269,68
MoskaL.th,1,261,69
grrr,1,253,70
MesmeR,1,246,71
Woeste Wessel,1,237,72
paepaoe,1,233,73
RUSPuMbI4,1,229,74
dcus,1,225,75
DESTROY3R,1,219,76
Minz,1,213,77
happy >:),1,209,78
skplmn,1,204,79
*ShiHua,1,196,80
Piotski,1,192,81
AW.Xller4ble,1,188,82
ZyaX,1,175,83
BigFloppa,1,172,84
[FEFU]backbqne,1,166,85
MILL3NUM,1,162,86
killa,1,159,87
green,1,150,88
br4p,1,144,89
>Celtic<,1,130,90
Vladek,1,120,91
Timothy,1,49,92
Frog,2,1000,1
DeX.ks.ua,2,985,2
[fps]Yotoon,2,966,3
[fps]S,2,956,4
[fps]delta,2,937,5
rOOt,2,916,6
I V Y X 8,2,906,7
suburb,2,896,8
Enter.th,2,876,9
/cdtu/xas.th,2,853,10
DamnedLight,2,838,11
thewing,2,827,12
step,2,816,13
xAMoMAx,2,802,14
KeT,2,791,15
nL-Brigand,2,781,16
Daan,2,770,17
>>/effect,2,760,18
SenT!neL,2,750,19
excite.[D1M_],2,737,20
esc?nebuLa,2,723,21
breacH,2,711,22
>>/Nosf,2,701,23
ace,2,691,24
tofu,2,681,25
DinO,2,670,26
Recrut,2,661,27
aurin,2,648,28
MoskaL.th,2,639,29
kiccel,2,630,30
GaD,2,621,31
lex,2,610,32
Aciz,2,601,33
[fps]Pakistan,2,590,34
cobra,2,580,35
[fps]Goper,2,570,36
id.,2,561,37
[fps]>>/kairos,2,551,38
uN*DeaD|ZERG (c),2,542,39
bionicman,2,533,40
BorisXIV,2,523,41
fps*BerserK,2,511,42
1Dm,2,500,43
yogurt,2,492,44
eL|HoRuS|,2,482,45
halvorgb,2,473,46
Zeppelin,2,465,47
[DF]Mikendo,2,455,48
BigFloppa,2,444,49
Keanex.th,2,436,50
imoor,2,422,51
sjn|wRat,2,415,52
BG-noMAD,2,411,53
poison,2,405,54
MegA-TecK,2,400,55
kITKAATpx,2,395,56
laffs,2,387,57
APKIS,2,382,58
Nibbit,2,378,59
Lapy,2,373,60
